Supporting Actress id,film_id
577751,61505
189229,61527
180971,1396988
92343,2804704
765962,4350811
564303,1397120
181011,4836948
17334,4717522
383248,145652
765450,4766483
187081,6000549
710551,42093
362422,1397142
533847,4500088
215193,170936
160624,3367826
690539,156628
394902,42293
216314,42361
766048,290970
697796,1365472
766070,92596
88291,18999171
187094,242821
187094,177740
170516,6982919
412879,4608223
575345,11324389
59594,1397183
641260,45606
766814,9377241
768042,68245
25866,9830229
48071,10160738
177771,99459
521820,74868
38563,1397198
489204,1055198
41562,5028092
768141,856716
2150208,101935
63741,163451
82765,7769076
63390,103026
155915,1199638
768228,45242
67763,76394
492152,30524
541421,3600424
235312,113454
618770,113464
618770,1055089
356640,129331
217702,9125100
630976,129542
54985,129619
768280,171051
219358,324616
276341,133688
277368,1330432
55117,101954
204467,142457
85432,88075
5792809,3383952
385525,171618
20647767,3569822
150996,201534
204352,461364
160126,1141438
158448,3598984
518700,3825963
476044,63985725
23006,10780993
1401564,21113228
1363953,23652051
8694199,29454281
604244,33029735
38179119,37125755
400595,11055577
32601798,25329994
6713737,39565371
455047,52893564
1599816,54515886
3762237,56172845
26143279,61276724
51868604,56415484
68378,58342225
35719670,70173604
