page_id,wikidata_id,film,release_date,box_office,runtime,languages,countries,genres,reviewScores,awardsReceived,awardsNominated,capitalCost
48716179,Q21646407,First Rank Raju,2015-01-01T00:00:00Z,,,Kannada,India,['drama'],[''],[''],[''],
46967307,Q20311376,A 2nd Hand Lover,2015-01-01T00:00:00Z,,,Kannada,India,['musical'],[''],[''],[''],
48837152,Q24521064,"3 1/2 Minutes, 10 Bullets",2015-01-24T00:00:00Z,,98,English,United States of America,"['documentary', 'crime']","['100%', '7.7/10']",['Sundance Special Jury Prize Documentary'],[''],
44838624,Q18701869,3 Bahadur,2015-01-01T00:00:00Z,,94,Urdu,Pakistan,"['adventure', ""children's""]",[''],[''],[''],
46896101,Q20770561,3 Generations,2015-09-18T00:00:00Z,,87,"English, Spanish",United States of America,"['drama', 'LGBT-related', 'comedy']","['31%', '5/10']",[''],[''],
63532713,Q19258089,3 Türken und ein Baby,2015-01-13T00:00:00Z,,99,German,Germany,['comedy'],[''],[''],[''],
47937190,Q21065413,3-Headed Shark Attack,,,,,,,,,,
55222801,Q43302295,3:56 Killari,2015-08-21T00:00:00Z,,,Marathi,India,[''],[''],[''],[''],
75475782,Q21596870,4 Kings,2015-01-01T00:00:00Z,,98,German,Germany,['drama'],[''],[''],[''],
50596418,Q22075445,4th Man Out,2015-01-01T00:00:00Z,,86,English,United States of America,['LGBT-related'],"['5.7/10', '54%', '43/100']",[''],[''],
43134385,Q18703052,6 Years,2015-01-01T00:00:00Z,,80,"Spanish, English",United States of America,"['drama', 'romance']","['6.6/10', '69%']",[''],[''],
46767243,Q20000957,7 Chinese Brothers,2015-01-01T00:00:00Z,,76,English,United States of America,['comedy'],"['6.2/10', '78%']",[''],[''],
47122496,Q20646833,7 Days in Hell,2015-01-01T00:00:00Z,,45,English,United States of America,['mockumentary'],"['87', '67', '7.6']",[''],[''],
52098522,Q27590993,7 Days in Syria,2015-01-01T00:00:00Z,,75,English,United States of America,['documentary'],[''],[''],[''],
48124495,Q21091378,7 Letters,2015-01-01T00:00:00Z,,116,English,Singapore,['drama'],[''],[''],['International Submission to the Academy Awards'],
59919215,Q18753643,8 New Dates,2015-01-01T00:00:00Z,7456577,86,Russian,"Ukraine, Russia",['comedy'],[''],[''],[''],2300000
58927278,Q19771560,10 Billion - What's on your plate?,2015-04-16T00:00:00Z,,107,"German, Hindi, English, Portuguese, Japanese",Germany,['documentary'],[''],[''],[''],
46182936,Q19867737,10 Days in a Madhouse,2015-01-01T00:00:00Z,,111,English,United States of America,['biographical'],[''],[''],[''],
42865684,Q17075598,10 Endrathukulla,2015-01-01T00:00:00Z,,,Tamil,India,"['action', 'action thriller']",[''],[''],[''],
46324197,Q19877180,11 Minutes,2015-01-01T00:00:00Z,,81,English,"Poland, Ireland",['thriller'],"['74%', '6.2/10']","['European Film Award for Best Sound Designer', 'Polish Academy Award for Best Editing']","['IFFR audience award', 'International Submission to the Academy Awards']",
48425786,Q21426951,11B-X-1371,,,,,,,,,,
74363931,Q22945833,The 11th Grade,2016-01-29T00:00:00Z,,84,Bulgarian,Bulgaria,['comedy'],[''],[''],[''],
75701597,Q60835650,12 Gifts of Christmas,,,,,,,,,,
