page_id,wikidata_id,actor,sexLabel,nativeLanguageLabel,countryOfCitizenshipLabel,ethnicGroupLabel
106405,Q77181,Emil Jannings,male,,Germany,
142784,Q312073,Warner Baxter,male,English,United States of America,
7605117,Q182229,George Arliss,male,,United Kingdom,
67022,Q295593,Lionel Barrymore,male,English,United States of America,
142834,Q322179,Wallace Beery,male,English,United States of America,
63556,Q181819,Fredric March,male,English,United States of America,
61641,Q55264,Charles Laughton,male,English,United Kingdom,
42083,Q71243,Clark Gable,male,English,United States of America,
45360,Q329577,Victor McLaglen,male,English,United Kingdom,
45188,Q182292,Paul Muni,male,,United States of America,
45782,Q71275,Spencer Tracy,male,English,United States of America,
84878,Q116983,Robert Donat,male,,United Kingdom,
16273,Q102462,James Stewart,male,,United States of America,
44359,Q93957,Gary Cooper,male,English,United States of America,
16046,Q94041,James Cagney,male,,United States of America,
145646,Q182057,Paul Lukas,male,Hungarian,United States of America,
4010,Q72984,Bing Crosby,male,English,United States of America,
53505,Q181774,Ray Milland,male,English,United Kingdom,
142841,Q181786,Ronald Colman,male,,United Kingdom,
43675,Q55245,Laurence Olivier,male,,United Kingdom,
154686,Q182349,Broderick Crawford,male,English,United States of America,
113471,Q312098,José Ferrer,male,English,United States of America,Puerto Ricans
14045,Q16390,Humphrey Bogart,male,American English,United States of America,
147352,Q95002,William Holden,male,English,United States of America,
19903,Q34012,Marlon Brando,male,,United States of America,
161436,Q102551,Ernest Borgnine,male,English,United States of America,
61797,Q102813,Yul Brynner,male,,Far Eastern Republic,
19672828,Q103894,Alec Guinness,male,,United Kingdom,
53762,Q181917,David Niven,male,British English,United Kingdom,
46165,Q80739,Charlton Heston,male,English,United States of America,
4537,Q160528,Burt Lancaster,male,English,United States of America,
161516,Q153018,Maximilian Schell,male,,Switzerland,
77491,Q108366,Gregory Peck,male,,United States of America,
46052,Q104049,Sidney Poitier,male,English,United States of America,African Americans
99019,Q181887,Rex Harrison,male,British English,United Kingdom,
