,page_id,wikidata_id,film,release_date,box_office,runtime,languages,countries,genres,reviewScores,awardsReceived,awardsNominated,capitalCost
Cindy la Regia,62232336,Q85752475,Cindy la Regia,2020-01-01T00:00:00Z,,,Spanish,Mexico,['comedy'],[''],[''],[''],
Citation (film),65773855,Q101237151,Citation,2020-11-06T00:00:00Z,,151,English,Nigeria,['drama'],"['6.2/10', '67%']","['National Film Awards', 'Africa Movie Academy Awards']",['Africa Movie Academy Awards'],
City Hall (2020 film),64710536,Q97940517,City Hall,2020-01-01T00:00:00Z,,,English,United States of America,['documentary'],"['98%', '8.7/10']",[''],[''],
Clapboard Jungle,67328102,Q106609285,Clapboard Jungle,2020-06-05T00:00:00Z,,98,English,Canada,['documentary'],[''],[''],[''],
The Clark Sisters: First Ladies of Gospel,63487915,Q96408549,The Clark Sisters: First Ladies of Gospel,,,,,,,,,,
Class Action Park,65190550,Q99519749,Class Action Park,2020-01-01T00:00:00Z,,90,English,United States of America,"['crime', 'documentary']","['7.5/10', '96%']",[''],[''],
Class of '83,60716459,Q65068618,Class of '83,2020-08-21T00:00:00Z,,,Hindi,India,[''],[''],[''],[''],
Classmates Minus,67548944,Q104051130,Classmates Minus,2020-01-01T00:00:00Z,,,,Taiwan,[''],[''],[''],[''],
The Claudia Kishi Club,64509825,Q97166750,The Claudia Kishi Club,,,,,,,,,,
The Claus Family,66042807,Q92135195,The Claus Family,,,,,,,,,,
Closed for Storm,67444569,Q107410375,Closed for Storm,,,,,,,,,,
The Closet (2020 film),60522791,Q65058433,The Closet,2020-02-05T00:00:00Z,,98,Korean,South Korea,"['drama', 'mystery', 'horror']","['83%', '7/10']",[''],[''],
Clouds (2020 film),62099785,Q73549338,Clouds,2020-10-16T00:00:00Z,,121,English,United States of America,"['romance', 'romantic drama', 'drama']","['76%', '6.6/10', '55/100']",[''],[''],
Clover (2020 film),66923723,Q97169372,Clover (2020 film),,,,,,,,,,
El club de los idealistas,73688789,Q118120929,El club de los idealistas,2020-01-01T00:00:00Z,,100,Spanish,Mexico,['comedy'],[''],[''],[''],
Coastal Elites,64390176,Q97354411,Coastal Elites,2020-09-12T00:00:00Z,,,,United States of America,[''],"['5.7/10', '52%']",[''],[''],
Cochin Shadhi at Chennai 03,63316821,Q96375187,Cochin Shadhi at Chennai 03,,,,,,,,,,
Cocktail (2020 film),64470108,Q97177816,Cocktail,2020-01-01T00:00:00Z,,,Tamil,India,['comedy'],[''],[''],[''],
Coded Bias,66016527,Q104878660,Coded Bias,2020-01-01T00:00:00Z,,,,United States of America,['documentary'],"['100%', '7.9/10']",[''],[''],
Coffee & Kareem,60645633,Q63450196,Coffee & Kareem,2020-01-01T00:00:00Z,,88,English,United States of America,['comedy'],"['3.8/10', '21%']",[''],[''],
Colette (2020 film),67109859,Q105993238,Colette,2020-01-01T00:00:00Z,,,,United States of America,"['short', 'documentary']",[''],['Academy Award for Best Documentary (Short Subject)'],['Academy Award for Best Documentary (Short Subject)'],
Collectors (film),65694186,Q100945934,Collectors,2020-11-04T00:00:00Z,,,Korean,South Korea,['heist'],[''],[''],[''],
College Kumar (2020 film),62550779,Q89187788,College Kumar,2020-01-01T00:00:00Z,,,Tamil,India,[''],[''],[''],[''],
Colombia in My Arms,78099367,Q98555020,Colombia in My Arms,2020-01-28T00:00:00Z,,91,Spanish,"France, Denmark, Finland, Norway",['documentary'],[''],[''],[''],
Colorless Dreams,70063078,Q110692727,Colorless Dreams,,,,,,,,,,
Colour Photo,65137657,Q100801386,Colour Photo,,,,,,,,,,
Coma (2020 film),52870796,Q28180653,COMA,2019-11-14T00:00:00Z,,,Russian,Russia,"['action', 'dystopian']",[''],[''],[''],352500000
Combat Wombat (film),67675864,Q104815118,Combat Wombat,2020-10-15T00:00:00Z,,,English,Australia,"[""children's""]",[''],[''],[''],
Come Away,57551771,Q56063352,Come Away,2020-01-01T00:00:00Z,1692494,94,English,United States of America,['fantasy'],"['29%', '4.9/10']",[''],[''],
Come Play,61086257,Q65049519,Come Play,2020-01-01T00:00:00Z,,96,English,United States of America,"['fantasy', 'horror', 'thriller', 'supernatural']","['5.9/10', '56%', '58/100']",[''],[''],
Come True,66301788,Q100532928,Come True,2020-01-01T00:00:00Z,,105,English,"Canada, United States of America",['horror'],"['7.1/10', '86%']",[''],[''],
The Comeback Trail (2020 film),60728863,Q65069001,The Comeback Trail,2020-10-12T00:00:00Z,,104,English,United States of America,[],"['5.5/10', '33%']",[''],[''],
Comedy Couple,65017348,Q101245056,Comedy Couple,,,,,,,,,,
Comfort Farms,67952038,Q107365958,Comfort Farms,,,,,,,,,,
Coming Home (2020 film),66131538,Q104881835,Coming Home (2020 film),,,,,,,,,,
Coming to Africa,66235345,Q104822649,Coming to Africa,,,,,,,,,,
A Common Crime,63174809,Q85850158,A Common Crime,2020-01-01T00:00:00Z,,96,Spanish,Argentina,['drama'],[''],[''],[''],
The Con-Heartist,71306436,Q101955517,The Con-Heartist,2020-12-03T00:00:00Z,,130,"Thai, Isan",Thailand,[''],[''],[''],[''],
Concrete Cowboy,61508409,Q66828796,Concrete Cowboy,2020-01-01T00:00:00Z,,111,English,United States of America,['drama'],"['6.6/10', '80%', '67/100']",[''],[''],
Confession of a Woman,67348571,Q106608740,A Woman's Confession,2020-01-09T00:00:00Z,,,Burmese,Myanmar,[''],[''],[''],[''],
Console Wars (film),65403393,Q99555529,Console Wars (film),,,,,,,,,,
Contra (film),74063748,Q100323656,Contra,2020-10-01T00:00:00Z,,108,German,Germany,['comedy'],[''],['Civis Media Prize'],[''],
Coolie No. 1 (2020 film),60299277,Q65081543,Coolie No. 1,2020-01-01T00:00:00Z,,134,Hindi,India,['romantic comedy'],[''],[''],[''],
The Cornered Mouse Dreams of Cheese,61928054,Q3223612,The Cornered Mouse Dreams of Cheese,,,,,,,,,,
Corona (film),63636808,Q92801637,Corona,2020-01-01T00:00:00Z,,,English,Canada,['drama'],[''],[''],[''],
Corona Zombies,63716198,Q92798265,Corona Zombies,2020-01-01T00:00:00Z,,61,English,United States of America,['comedy horror'],[''],[''],[''],
Coronation (2020 film),65048204,Q98599247,Coronation,2020-01-01T00:00:00Z,,,,,['documentary'],[''],[''],[''],
Coronavirus (film),64076018,Q96375553,Coronavirus,2020-12-11T00:00:00Z,,84,,,[''],[''],[''],[''],
The Corruption of Divine Providence,68529098,Q108415303,The Corruption of Divine Providence,,,,,,,,,,
Cosmoball,55958393,Q44506078,Cosmoball,2019-01-24T00:00:00Z,,118,Russian,Russia,"['adventure', 'superhero', 'speculative fiction']",[''],[''],[''],15000000
The Cost of Silence,66016283,Q104902397,The Cost of Silence,,,,,,,,,,
A Costume for Nicholas,71802232,Q114414779,A Costume for Nicholas,2020-01-01T00:00:00Z,,83,,,[''],[''],[''],[''],
The Courier (2020 film),57315022,Q58348806,The Courier,2020-01-01T00:00:00Z,,111,English,United Kingdom,['drama'],"['6.8/10', '85%', '65/100']",[''],[''],
Court Martial (2020 film),64578971,Q97516205,Court Martial (2020 film),,,,,,,,,,
Coven (2020 film),66296965,Q66622668,Akelarre,2020-01-01T00:00:00Z,311592,90,"Spanish, Basque","Argentina, France, Spain","['drama', 'historical']","['6.8/10', '86%']",[''],[''],
Cowboys (2020 film),64803990,Q87127859,Cowboys,2020-01-01T00:00:00Z,,85,English,United States of America,"['transgender', 'drama']","['7.4/10', '91%']",[''],[''],
The Craft: Legacy,62010614,Q74191011,The Craft: Legacy,2020-10-28T00:00:00Z,,,English,United States of America,['teen'],"['5.5/10', '47%']",[''],[''],
Cranston Academy: Monster Zone,63323928,Q89186672,Cranston Academy: Monster Zone,,,,,,,,,,
Crayon Shin-chan: Crash! Graffiti Kingdom and Almost Four Heroes,61704338,Q67000951,Crayon Shin-chan: Crash! Graffiti Kingdom and Almost Four Heroes,,,,,,,,,,
Crazy Awesome Teachers,64967044,Q97225541,Crazy Awesome Teachers,2020-01-01T00:00:00Z,,102,Indonesian,Indonesia,['comedy'],[''],[''],[''],
"Crazy, Not Insane",64708762,Q98078610,"Crazy, Not Insane",,,,,,,,,,
Creation Between Two Surfaces,63030184,Q84418150,Creation Between Two Surfaces,,,,,,,,,,
Creators: The Past,45141306,Q18844655,Creators: The Past,2019-01-01T00:00:00Z,,97,English,Italy,['fantasy'],[''],[''],[''],
A Crime on the Bayou,67560296,Q106866736,A Crime on the Bayou,,,,,,,,,,
The Crimes That Bind (2020 film),65005043,Q98108682,The Crimes That Bind,2020-08-19T00:00:00Z,,99,Spanish,Argentina,"['drama', 'legal drama']",[''],[''],[''],
Crip Camp,63480364,Q90340902,Crip Camp,2020-01-01T00:00:00Z,,,English,United States of America,['documentary'],"['100%', '8.5/10', '86/100']",['Sundance Audience Award: U.S. Documentary'],[''],
Critical Thinking (film),61515179,Q66828799,Critical Thinking,2020-01-01T00:00:00Z,,,English,United States of America,['drama'],"['7.1/10', '94%']",[''],[''],
Crock of Gold: A Few Rounds with Shane MacGowan,70239544,Q107428439,Crock of Gold: A Few Rounds with Shane MacGowan,2020-12-04T00:00:00Z,,124,English,"United Kingdom, United States of America, Ireland",['documentary'],['96%'],[''],[''],
Crocodile Island (film),63532612,Q96375685,Crocodile Island (film),,,,,,,,,,
The Croods: A New Age,39417686,Q24832743,The Croods: A New Age,2020-09-08T00:00:00Z,,95,English,United States of America,['animated'],"['77%', '6.4/10', '56/100']",[''],[''],
Cross the Line,66331763,Q99527416,Cross the Line,2020-10-16T00:00:00Z,,92,Spanish,Spain,['thriller'],[''],[''],[''],
The Crossing (2020 film),69916899,Q110802981,The Crossing (2020 film),,,,,,,,,,
The Crucial Matter,71444175,Q113455621,The Crucial Matter,2020-01-01T00:00:00Z,,,,Nigeria,[''],[''],[''],[''],
The Crying Steppe,66011200,Q104426796,The Crying Steppe,,,,,,,,,,
Cuidado con lo que deseas,66397839,Q104181115,Cuidado con lo que deseas,2020-01-01T00:00:00Z,,91,Spanish,Mexico,"['thriller', 'horror']",[''],[''],[''],
Cup of Cheer,65873474,Q104871701,Cup of Cheer,,,,,,,,,,
Cured (film),65426137,Q100801141,Cured,2020-01-01T00:00:00Z,,,,United States of America,['documentary'],[''],[''],[''],
The Curse of Audrey Earnshaw,68316644,Q107936435,The Curse of Audrey Earnshaw,2021-02-17T00:00:00Z,,,English,Canada,[''],"['6.4/10', '78%']",[''],[''],
Curse of Aurore,75090394,Q123126684,Curse of Aurore,,,,,,,,,,
The Curse of Willow Song,65480890,Q101245243,The Curse of Willow Song,,,,,,,,,,
The Curve (2020 film),65724381,Q102197750,The Curve (2020 film),,,,,,,,,,
Curveball (film),63155291,Q85705850,Curveball,2020-02-27T00:00:00Z,,108,"German, English",Germany,"['comedy', 'thriller', 'crime']",[''],[''],['German Film Award for Best Feature Film'],
Cut Throat City,60070212,Q62595377,Cut Throat City,2020-08-21T00:00:00Z,,123,English,United States of America,"['drama', 'heist', 'action']","['6.1/10', '69%', '67/100']",[''],[''],
Cuties,64253398,Q84349632,Cuties,2020-08-19T00:00:00Z,,96,French,France,"['teen', 'drama']","['88%', '7/10', '67/100']",['Sundance World Cinema Directing Award: Dramatic'],[''],
Da 5 Bloods,59938258,Q62277203,Da 5 Bloods,2020-06-12T00:00:00Z,,154,English,United States of America,"['war', 'drama']","['92%', '8/10', '82/100']",['National Board of Review Award for Best Film'],['Academy Award for Best Original Score'],
Dad Wanted,65285815,Q99511396,Dad Wanted,2020-01-01T00:00:00Z,,,Spanish,Mexico,"['comedy', 'family']",[''],[''],[''],
Dagaalty,61097070,Q85755519,Dagaalty,2020-01-01T00:00:00Z,,,Tamil,India,[''],[''],[''],[''],
Daisy Quokka: World's Scariest Animal,67676623,Q107524881,Daisy Quokka: World's Scariest Animal,2020-01-01T00:00:00Z,,89,English,Australia,"[""children's""]",[''],[''],[''],
Dance Dreams: Hot Chocolate Nutcracker,65737956,Q101245428,Dance Dreams: Hot Chocolate Nutcracker,2020-11-27T00:00:00Z,,,English,United States of America,['documentary'],[''],[''],[''],
Dance of the 41 (film),65896543,Q86659327,Dance of the 41,2020-11-19T00:00:00Z,578919,99,Spanish,Mexico,"['biographical', 'historical', 'LGBT-related']",[''],[''],[''],
The Dancin' Bulldogs,64743829,Q98077966,The Dancin' Bulldogs,,,,,,,,,,
Dangerous Drugs of Sex,64553520,Q97453238,Dangerous Drugs of Sex,,,,,,,,,,
Dangerous Lies (2020 film),60711408,Q65068458,Dangerous Lies,2020-01-01T00:00:00Z,,96,English,United States of America,['thriller'],"['23', '4.3', '51/100']",[''],[''],
Danny (2020 film),60148156,Q65080390,Danny (2020 film),,,,,,,,,,
Darbaan,63400155,Q96375956,Darbaan,,,,,,,,,,
Darbar (film),60449338,Q63064236,Darbar,2020-01-01T00:00:00Z,,,Tamil,India,['action'],"['6.4/10', '57%']",[''],[''],
The Dark and the Wicked,65074569,Q98761957,The Dark and the Wicked,2020-08-28T00:00:00Z,,93,English,United States of America,['horror'],"['7.5/10', '91%']",[''],[''],
The Dark Divide,65421091,Q101245210,The Dark Divide,,,,,,,,,,
The Dark End of the Street (2020 film),74065480,Q119723427,The Dark End of the Street (2020 film),,,,,,,,,,
A Dark Foe,69816379,Q110617021,A Dark Foe,2020-01-01T00:00:00Z,,,,United States of America,[''],[''],[''],[''],
Dark Forces (2020 film),65022906,Q98689744,Dark Forces,2020-01-01T00:00:00Z,,,Spanish,Mexico,"['thriller', 'action', 'horror']",[''],[''],[''],
Darkness Falls (2020 film),74990314,Q122955656,Darkness Falls (2020 film),,,,,,,,,,
Dashing in December,65939125,Q104176288,Dashing in December,,,,,,,,,,
Date a Bullet: Dead or Bullet,61895014,Q77315720,Date a Bullet: Dead or Bullet,,,,,,,,,,
Date a Bullet: Nightmare or Queen,61895014,Q77315720,Date a Bullet: Nightmare or Queen,,,,,,,,,,
Dating Amber,64183399,Q96418280,Dating Amber,2020-01-01T00:00:00Z,,92,English,Ireland,"['comedy drama', 'romance']","['7.3/10', '94%']",[''],[''],
DAU. Natasha,63020855,Q84782103,DAU. Natasha,2020-01-01T00:00:00Z,,137,,Russia,['historical'],"['8.8/10', '85%']",[''],['European Film Award for Best Actress'],
Daulat (2020 film),63535911,Q89189379,Daulat,2020-04-06T00:00:00Z,,,Malay,Malaysia,['political'],[''],[''],[''],
Dave Not Coming Back,67327946,Q99393822,Dave Not Coming Back,2020-01-01T00:00:00Z,,92,English,Canada,['documentary'],[''],[''],[''],
David (2020 film),65140027,Q102216573,David (2020 film),,,,,,,,,,
David Attenborough: A Life on Our Planet,64998652,Q100613366,David Attenborough: A Life on Our Planet,2020-10-04T00:00:00Z,,,English,United Kingdom,"['nature documentary', 'documentary']","['8.3/10', '95%']",[''],[''],
The Day I Died: Unclosed Case,65719481,Q93739112,The Day I Died: Unclosed Case,2020-01-01T00:00:00Z,,,Korean,South Korea,"['mystery', 'drama']",[''],[''],[''],
The Day of the Lord (film),65719193,Q101157677,The Day of the Lord,2020-01-01T00:00:00Z,,,Spanish,"Mexico, Spain","['drama', 'horror']",[''],[''],[''],
Day Zero (2020 film),69156992,Q85971303,Zero Day,2020-01-01T00:00:00Z,206248.43,,"German, Urdu, Persian, Pashto",Iran,['mystery'],[''],[''],[''],
Days (2020 film),63020922,Q84324952,Days,2020-02-27T00:00:00Z,,127,traditional Chinese characters,Taiwan,"['LGBT-related', 'drama']",[''],[''],[''],
DC Showcase: Adam Strange,64360130,Q97355560,DC Showcase: Adam Strange,2020-01-01T00:00:00Z,,,English,,['superhero'],[''],[''],[''],
DC Showcase: The Phantom Stranger,64360127,Q97355561,DC Showcase: The Phantom Stranger,,,,,,,,,,
De Gaulle (film),173774,Q85853071,De Gaulle,2020-03-04T00:00:00Z,,108,French,France,['historical'],"['40%', '6.3/10']",[''],[''],
De patitas a la calle,73113892,Q117031976,De patitas a la calle,2020-01-01T00:00:00Z,,,Spanish,Peru,['adventure'],[''],[''],[''],
Dead (film),74299365,Q120488163,Dead,2020-01-01T00:00:00Z,,90,English,New Zealand,[''],[''],[''],[''],
Dead by Dawn (2020 film),38567800,Q7440857,Dead by Dawn (2020 film),,,,,,,,,,
Dead Reckoning (2020 film),65593264,Q100605608,Dead Reckoning (2020 film),,,,,,,,,,
Deadly Illusions (2020 film),70045449,Q100257336,Deadly Illusions,2020-11-19T00:00:00Z,,108,Russian,Russia,['thriller'],[''],[''],[''],
A Deadly Legend,73099972,Q116971303,A Deadly Legend,,,,,,,,,,
Dear Affy,63288688,Q96376093,Dear Affy,2020-02-14T00:00:00Z,39600000,110,English,Nigeria,"['comedy', 'romance']",[''],[''],[''],
Dear Bayo,63134914,Q85756018,Dear Bayo,2020-01-01T00:00:00Z,,,English,Nigeria,['romance'],[''],[''],[''],
Dear Comrades!,64692708,Q85859809,Dear Comrades,2020-09-07T00:00:00Z,,120,Russian,Russia,"['historical', 'drama']","['95%', '8.1/10']",[''],['International Submission to the Academy Awards'],
Dear Mother (film),69844430,Q105480282,Dear Mother,2020-09-15T00:00:00Z,,98,French,France,['comedy'],[''],[''],[''],
Dear Tenant,67209350,Q97161350,Dear tenant,2020-01-01T00:00:00Z,,,Standard Taiwanese Mandarin,Taiwan,[''],[''],[''],[''],
Death in Texas,67087512,Q106238060,Death in Texas,,,,,,,,,,
Death of a Ladies' Man (film),67080923,Q105928969,Death of a Ladies’ Man,2020-01-01T00:00:00Z,,100,English,"Ireland, Canada",['drama'],[''],[''],[''],
Death of a Telemarketer,69467957,Q106846193,Death of a Telemarketer,2020-01-01T00:00:00Z,,,,United States of America,['comedy'],[''],[''],[''],
Death of Me (film),64971573,Q85867288,Death of Me,2021-01-04T00:00:00Z,,,English,United States of America,['horror'],"['33%', '4.2/10']",[''],[''],
Death to 2020,66015894,Q104013554,Death to 2020,2020-12-27T00:00:00Z,,70,English,United States of America,"['comedy', 'mockumentary', 'pseudo-documentary']","['40%', '4.3/10']",[''],[''],
Deathstroke: Knights & Dragons,60786688,Q85756083,Deathstroke: Knights & Dragons,,,,,,,,,,
The Decline (film),63136676,Q65130905,The Decline,2020-02-27T00:00:00Z,,83,French,Canada,['thriller'],"['90%', '6.6/10']",[''],[''],
Decoding COVID-19,63951675,Q96122956,Decoding COVID-19,,,,,,,,,,
Deep Blue Sea 3,63907886,Q96376122,Deep Blue Sea 3,2020-01-01T00:00:00Z,,99,English,United States of America,['horror'],"['71%', '5.4/10']",[''],[''],
The Deep Ones,68008300,Q107427431,The Deep Ones,,,,,,,,,,
Deeper!,70045056,Q100489991,Deeper!,2020-01-01T00:00:00Z,1014750,109,Russian,Russia,"['melodrama', 'comedy']",[''],[''],[''],
Definition Please,64793549,Q102036247,Definition Please,,,,,,,,,,
Delete History,62969034,Q83969215,Delete History,2020-02-24T00:00:00Z,,109,French,France,"['drama', 'comedy']","['4/10', '80%']",[''],[''],
The Delicacy,63157777,Q85806943,The Delicacy,,,,,,,,,,
Deliver Us from Evil (2020 film),64632777,Q93739110,Deliver Us From Evil,2020-08-05T00:00:00Z,,108,"English, Japanese, Korean, Thai",South Korea,[''],[''],[''],[''],
Demo Piece,72727078,Q116442998,Demo Piece,,,,,,,,,,
Demon Slayer: Kimetsu no Yaiba – The Movie: Mugen Train,63622479,Q96376192,Demon Slayer: Kimetsu no Yaiba – The Movie: Mugen Train,,,,,,,,,,
The Departure (2020 film),71925954,Q115152859,The Departure (2020 film),,,,,,,,,,
Desperados (film),60883846,Q65041359,Desperados,2020-01-01T00:00:00Z,,105,English,United States of America,['comedy'],"['3.7/10', '15%', '41/100']",[''],[''],
Detective (2020 film),64775318,Q104845906,Detective,2020-08-14T00:00:00Z,,,Bangla,India,[''],[''],[''],[''],
Devi (2020 film),62932697,Q85756618,Devi (2020 film),,,,,,,,,,
The Devil All the Time (film),58419210,Q61927376,The Devil All the Time,2020-08-16T00:00:00Z,,138,English,United States of America,"['thriller', 'drama', 'horror']","['55', '65%', '6.4']",[''],[''],
Dhamaka (2020 film),62746376,Q85756689,Dhamaka (2020 film),,,,,,,,,,
Dharala Prabhu,63362029,Q96219243,Dharala Prabhu,2020-01-01T00:00:00Z,,,Tamil,India,['romantic comedy'],[''],[''],[''],
Dhurala,71871135,Q96678679,Dhurala,,,,,,,,,,
Dia (film),63119928,Q86752372,Dia,2020-01-01T00:00:00Z,,,Kannada,India,[''],[''],[''],[''],
The Diam Diam Era,65931988,Q102303721,The Diam Diam Era,2020-11-26T00:00:00Z,,,,Singapore,[''],[''],[''],[''],
Dick Johnson Is Dead,63020310,Q84366622,Dick Johnson Is Dead,2020-01-01T00:00:00Z,,89,English,United States of America,['documentary'],"['100%', '8.7/10']",['Sundance Special Jury Prize Documentary'],[''],
Digger (2020 film),63174887,Q85850456,Digger,2020-01-01T00:00:00Z,,,Greek,Greece,['drama'],[''],[''],['International Submission to the Academy Awards'],
Digimon Adventure: Last Evolution Kizuna,61425217,Q65230836,Digimon Adventure: Last Evolution Kizuna,,,,,,,,,,
Dil Bechara,57930402,Q55648020,Dil Bechara,2020-07-24T00:00:00Z,,101,Hindi,India,"['romance', 'tragicomedy', 'comedy drama', 'coming-of-age fiction', 'romantic drama']","['87%', '6.2/10']",[''],[''],
Din Ratrir Golpo,63226395,Q86523539,Din Ratrir Golpo,2020-02-28T00:00:00Z,,,Bangla,India,[''],[''],[''],[''],
Dinner in America,62531922,Q83726515,Dinner in America,2020-01-01T00:00:00Z,,,English,United States of America,['comedy drama'],"['94%', '8.1/10']",[''],[''],
Dirty (2020 film),64183662,Q96376423,Dirty (2020 film),,,,,,,,,,
Dirty Hari,64704434,Q98078841,Dirty Hari,2020-12-18T00:00:00Z,,67,Telugu,India,['erotic thriller'],[''],[''],[''],
The Disciple (2020 film),64692770,Q97831298,The Disciple,2020-09-03T00:00:00Z,,128,Marathi,India,['drama'],"['7.7/10', '96%']",[''],[''],
Disclosure (2020 Australian film),68324037,Q108030463,Disclosure (2020 Australian film),,,,,,,,,,
Disclosure (2020 American film),63009423,Q84366473,Disclosure: Trans Lives on Screen,2020-01-27T00:00:00Z,,,English,United States of America,"['documentary', 'LGBT-related', 'transgender']","['98%', '8.2/10', '79/100']",[''],[''],
Disco Raja,62473273,Q77905394,Disco Raja,,,,,,,,,,
The Disrupted,65593682,Q104863987,The Disrupted,,,,,,,,,,
The Dissident,63181816,Q86460768,The Dissident,2020-12-18T00:00:00Z,57,119,"Turkish, English, Arabic",United States of America,['documentary'],"['7.9/10', '96%']",[''],[''],
Disturbing the Peace (2020 film),65778939,Q86733064,Disturbing the Peace,2020-01-07T00:00:00Z,,,English,United States of America,"['vigilante', 'action']","['3/10', '20%']",[''],[''],
Diva (2020 film),67091459,Q93739098,Diva,2020-09-01T00:00:00Z,,,Korean,South Korea,['mystery'],[''],[''],[''],
Divine (2020 film),65599685,Q96820070,Divine,2020-08-13T00:00:00Z,,91,English,Germany,"['drama', 'romance']",[''],[''],[''],
Divorzio a Las Vegas,65557805,Q99935581,Divorzio a Las Vegas,2020-10-08T00:00:00Z,,90,Italian,Italy,"['comedy', 'romance']",[''],[''],[''],
DNA (2020 film),64176365,Q96083272,DNA,2020-10-28T00:00:00Z,,90,French,France,"['drama', 'historical']","['7.1/10', '86%']",[''],[''],
Do Not Split,67109987,Q105683911,Do Not Split,2020-01-01T00:00:00Z,,,,Norway,['documentary'],[''],[''],[''],
Doctor Liza (film),65430035,Q65154239,Doctor Lisa,2020-01-01T00:00:00Z,,120,Russian,Russia,"['drama', 'biographical']",[''],['19th Golden Eagle Awards'],[''],72000000
Dogwashers,74558925,Q110930174,Lavaperros,2020-01-01T00:00:00Z,,103,Spanish,Colombia,['drama'],[''],[''],['Forqué Award for Best Latin-American Film'],
Dolapo Is Fine,65889962,Q102216350,Dolapo Is Fine,,,,,,,,,,
Dolittle (film),53554733,Q38689704,Dolittle,2020-01-16T00:00:00Z,,101,English,United States of America,"['comedy', 'fantasy', 'adventure', 'family']","['4/10', '14%', '26/100']",[''],[''],175000000
Don't Click (2020 film),66171803,Q104835047,Don't Click (2020 film),,,,,,,,,,
Don't Listen,71735340,Q99010230,Don't listen,2020-07-24T00:00:00Z,,97,Spanish,Spain,['horror'],"['63%', '5.4/10']",[''],[''],
Don't Tell a Soul (film),64027062,Q87186038,Don’t Tell a Soul,2020-01-01T00:00:00Z,,83,English,United States of America,['thriller'],"['6.1/10', '71%']",[''],[''],
The Donut King,67736226,Q106358997,The Donut King,2020-10-30T00:00:00Z,,94,"Chinese, American English",United States of America,['documentary'],"['7.5/10', '97%']","['Sidewalk Film Festival', 'Bentonville Film Festival', 'San Diego Asian Film Festival', 'Asian American International Film Festival']","['Nashville Film Festival', 'Philadelphia Asian American Film Festival', 'Sidewalk Film Festival']",
Doodhpither Gachh,65587417,Q101245301,Doodhpither Gachh,2020-10-21T00:00:00Z,,,Bangla,India,[''],[''],[''],[''],
Doordarshan (film),62953368,Q85757434,Doordarshan,2020-01-01T00:00:00Z,,,,India,['comedy drama'],[''],[''],[''],
The Doorman (2020 film),64652289,Q97738159,The Doorman,2020-01-01T00:00:00Z,,90,"French, English",United States of America,['action'],"['4.2/10', '24%']",[''],[''],
Doraemon: Nobita's New Dinosaur,61206979,Q65022408,Doraemon: Nobita's New Dinosaur,2020-08-07T00:00:00Z,,111,Japanese,Japan,[''],[''],[''],[''],
Double World,65652373,Q97487243,Double World,2019-01-01T00:00:00Z,,,Mandarin,"Hong Kong, People's Republic of China","['fantasy', 'action']",[''],[''],[''],
Down a Dark Stairwell,66139986,Q106475185,Down a Dark Stairwell,2020-03-06T00:00:00Z,,,,,['documentary'],[''],[''],[''],
Downhill (2020 film),58947731,Q60737609,Downhill,http://www.wikidata.org/.well-known/genid/950b254b99ceaa62064062dcd8f63872,,86,English,"Austria, United States of America","['drama', 'comedy']","['38%', '5.4/10', '49/100']",[''],[''],
Downstream to Kinshasa,65998149,Q104878158,Downstream to Kinshasa,2020-09-14T00:00:00Z,,90,"Swahili, Lingala",Democratic Republic of the Congo,['documentary'],[''],[''],[''],
Dracula Sir,63369294,Q101008671,Dracula Sir,2010-10-21T00:00:00Z,,,Bangla,India,[''],[''],[''],[''],
Dragon Rider (film),61817660,Q66715823,Dragon Rider,2020-10-15T00:00:00Z,,,,"Germany, Belgium","['adventure', 'fantasy', 'animated']","['5.5/10', '71%']",[''],[''],
Dragonheart: Vengeance,62982590,Q84366170,Dragonheart: Vengeance,2020-01-01T00:00:00Z,,,,United States of America,"['medieval', 'prequel']",[''],[''],[''],
Draupathi (2020 film),63197307,Q86218158,Draupadi,2020-01-01T00:00:00Z,,,Tamil,India,['drama'],[''],[''],[''],
Dream Horse,60234024,Q65082880,Dream Horse,2020-01-24T00:00:00Z,,113,English,United Kingdom,"['drama', 'comedy']","['6.8/10', '88%', '68/100']",[''],[''],
Dreambuilders,67306617,Q73481216,Dreambuilders,2020-01-01T00:00:00Z,,80,Danish,Denmark,"['fantasy', 'animated', ""children's""]","['5.1/10', '55%']",[''],[''],
Dreaming Grand Avenue,72259022,Q115804729,Dreaming Grand Avenue,,,,,,,,,,
The Dress (2020 film),70199456,Q111384006,The Dress (2020 film),,,,,,,,,,
Drona (2020 film),63299070,Q96376649,Drona (2020 film),,,,,,,,,,
Droneman,62824748,Q83827605,Droneman,2020-01-01T00:00:00Z,,,Czech,Czech Republic,"['thriller', 'drama']",[''],[''],[''],
Drown (film),70310839,Q85972317,Drown (film),,,,,,,,,,
Drowning in Holy Water,69665555,Q85974721,Drowning in Holy Water,,,,,,,,,,
The Drummer (2020 film),70593387,Q111729386,The Drummer,2021-11-09T00:00:00Z,,,English,United States of America,[''],[''],[''],[''],
Drunk Bus,60231197,Q62076004,Drunk Bus,2020-01-01T00:00:00Z,,,English,United States of America,['comedy drama'],"['98%', '7.3/10']",[''],[''],
