,page_id,wikidata_id,nativeLanguageLabel,countryOfCitizenshipLabel,ethnicGroupLabel,Actor name,Actress id,Wikipedia movie ID,Movie name,Movie release date,Movie box office revenue,Movie runtime,Movie languages,Movie countries,Movie genres,reviewScores,awardsReceived,awardsNominated,capitalCost,Actor age at movie release,Actor date of birth,Actor ethnicity,Freebase actor ID
0,45794,Q182462,,United States of America,,Janet Gaynor,45794,61049,Seventh Heaven,,1750000.0,118.0,Silent film,United States of America,"Silent film, Indie, Black-and-white, Drama, War film, Romantic drama, Romance Film",,,,,20.0,1906.0,,/m/0cf3c
1,45794,Q182462,,United States of America,,Janet Gaynor,45794,171990,Street Angel,1928.0,1700000.0,102.0,Silent film,United States of America,"Silent film, Indie, Black-and-white, Drama, Romantic drama, Romance Film",,,,,21.0,1906.0,,/m/0cf3c
2,45794,Q182462,,United States of America,,Janet Gaynor,45794,61904,Sunrise: A Song of Two Humans,,,173.0,Silent film,United States of America,"Crime Fiction, Silent film, Indie, Black-and-white, Drama, Romantic drama, Romance Film",,,,,20.0,1906.0,,/m/0cf3c
3,18823,Q104109,English,Canada,,Mary Pickford,18823,172008,Coquette,,,76.0,English Language,United States of America,"Drama, Black-and-white",,,,,,1892.0,,/m/04rfq
4,61354,Q95019,English,United States of America,,Norma Shearer,61354,61191,The Divorcee,1930.0,,84.0,English Language,United States of America,"Pre-Code, Black-and-white, Drama, Film adaptation, Romantic drama, Romance Film",,,,,27.0,1902.0,Canadian Americans,/m/0gmv3
5,177739,Q253282,,United States of America,,Marie Dressler,177739,177741,Min and Bill,,2000000.0,66.0,English Language,United States of America,"Melodrama, Drama, Black-and-white",,,,,,1868.0,,/m/0183w9
6,177771,Q213302,,United States of America,,Helen Hayes,177771,177776,The Sin of Madelon Claudet,1931.0,,75.0,English Language,United States of America,"Melodrama, Drama, Black-and-white",,,,,31.0,1900.0,,/m/018417
7,43337,Q56016,English,United States of America,,Katharine Hepburn,43337,177783,Morning Glory,1933.0,582000.0,74.0,English Language,United States of America,"Drama, Black-and-white",,,,,26.0,1907.0,,/m/0bw87
8,43337,Q56016,English,United States of America,,Katharine Hepburn,43337,70647,Guess Who's Coming to Dinner,1967.0,56666667.0,108.0,English Language,United States of America,"Comedy of manners, Family Drama, Comedy-drama, Drama, Romantic drama, Romance Film",,,,,60.0,1907.0,,/m/0bw87
9,43337,Q56016,English,United States of America,,Katharine Hepburn,43337,7870124,The Lion in Winter,1968.0,22276975.0,135.0,English Language,United Kingdom,"LGBT, Biography, Costume drama, Epic, Period piece, Drama, Film adaptation, Political drama, Historical drama",,,,,61.0,1907.0,,/m/0bw87
10,43337,Q56016,English,United States of America,,Katharine Hepburn,43337,15119799,On Golden Pond,1981.0,119285432.0,90.0,English Language,United States of America,"Romance Film, Drama",,,,,74.0,1907.0,,/m/0bw87
11,61350,Q203819,,United States of America,,Claudette Colbert,61350,44696,It Happened One Night,1934.0,2500000.0,65.0,English Language,United States of America,"Romantic comedy, Road movie, Screwball comedy, Black-and-white, Pre-Code, Comedy, Romance Film",,,,,30.0,1903.0,,/m/0gmtm
12,63517,Q71206,,United States of America,,Bette Davis,63517,177824,Dangerous,1935.0,,79.0,English Language,United States of America,"Drama, Black-and-white",,,,,27.0,1908.0,,/m/0h1m9
13,63517,Q71206,,United States of America,,Bette Davis,63517,1396988,Jezebel,,,104.0,French Language,United States of America,"Romance Film, Drama, Black-and-white",,,,,29.0,1908.0,,/m/0h1m9
14,180908,Q18994,,Germany,,Luise Rainer,180908,44437,The Great Ziegfeld,1936.0,,186.0,English Language,United States of America,"Biography, Backstage Musical, Musical, Black-and-white, Period piece, Drama, Biopic [feature], Biographical film, Musical Drama",,,,,26.0,1910.0,Jewish people,/m/018q81
15,180908,Q18994,,Germany,,Luise Rainer,180908,60157,The Good Earth,1937.0,,138.0,English Language,United States of America,"Period piece, Drama, Black-and-white, Film adaptation",,,,,27.0,1910.0,Jewish people,/m/018q81
16,32788,Q129429,English,United Kingdom,,Vivien Leigh,32788,2804704,Gone with the Wind,1939.0,400000000.0,234.0,English Language,United States of America,"Film adaptation, Costume drama, Roadshow theatrical release, Epic, Period piece, Drama, War film, Romantic drama, Romance Film",,,,,26.0,1913.0,,/m/0812r
17,32788,Q129429,English,United Kingdom,,Vivien Leigh,32788,3367826,A Streetcar Named Desire,1951.0,8000000.0,127.0,English Language,United States of America,"Drama, Black-and-white, Film adaptation",,,,,38.0,1913.0,,/m/0812r
18,64612,Q95089,,United States of America,,Ginger Rogers,64612,10873860,Kitty Foyle: The Natural History of a Woman,1940.0,2385000.0,108.0,English Language,United States of America,"Romantic drama, Romance Film, Drama, Black-and-white",,,,,29.0,1911.0,,/m/0h7dd
19,180982,Q95076,English,United Kingdom,,Joan Fontaine,180982,74984,Suspicion,1941.0,4500000.0,99.0,English Language,United States of America,"Thriller, Mystery, Romance Film, Film noir",,,,,24.0,1917.0,British Americans,/m/018qms
20,63534,Q182486,,United Kingdom,,Greer Garson,63534,4836948,Mrs. Miniver,1942.0,8878000.0,134.0,English Language,United States of America,"Propaganda film, Family Drama, Drama, Black-and-white, War film",,,,,37.0,1904.0,Scottish Americans,/m/0h1s0
21,67375,Q189895,English,United States of America,,Jennifer Jones,67375,77672,The Song of Bernadette,1943.0,,156.0,French Language,United States of America,"Christian film, Biography, Roadshow theatrical release, Hagiography, Period piece, Drama, Black-and-white",,,,,24.0,1919.0,,/m/0hqdr
